GRPO Finetuning Log - Started at 2026-02-19 15:34:01
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='airl_grpo_latest.pth', iterations=500, num_prompts=32, group_size=8, policy_updates=10, batch_size=64, lr=0.0001, clip_epsilon=0.2, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, expert_trajs_per_iter=20, use_her=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='grpo_best.pth', latest_save_path='grpo_latest.pth', log_file='grpo_log.txt')
Iter	Policy Loss	Avg Reward	Avg Eval Reward	Avg Hue L1	Avg Value L1
99	0.252443	-0.601698	3.980050	0.003074	0.013364
100	0.333984	-0.259812	3.812672	0.003524	0.009688
101	0.178808	-0.494183	2.654605	0.003744	0.009759
102	0.082338	-0.680833	1.185927	0.003638	0.012443
103	0.023895	-0.649825	1.443452	0.003746	0.009929
104	0.082271	-0.433866	0.899529	0.003367	0.013295
105	0.068180	-0.533025	0.006578	0.003582	0.010549
106	0.237525	-0.599156	4.545869	0.003242	0.013019
107	0.184523	-0.639520	0.980670	0.003268	0.009711
108	0.117061	-0.436243	2.978960	0.003434	0.010742
109	0.178154	-0.636519	4.875356	0.003609	0.011506
110	0.159398	-0.509564	1.593048	0.003649	0.009818
111	0.215834	-0.712614	2.968156	0.003560	0.011091
112	0.196850	-0.567512	5.178475	0.004205	0.011303
113	0.316165	-0.620265	6.891867	0.002998	0.013776
114	-0.088094	-0.489730	4.030837	0.003919	0.010661
115	0.071311	-0.342431	-0.870550	0.003784	0.010408
116	0.178877	-0.382424	-1.901301	0.003433	0.011466
117	-0.002491	-0.432354	6.056659	0.003110	0.009857
118	0.216370	-0.547245	7.577612	0.003086	0.009688
119	0.190482	-0.412025	1.692204	0.003427	0.010429
120	-0.026264	-0.603597	4.092887	0.002750	0.010525
121	-0.094415	-0.636479	0.642091	0.003183	0.012176
122	0.210763	-0.516430	8.475304	0.003770	0.011007
123	0.263115	-0.693903	0.836808	0.003596	0.013656
124	0.064094	-0.511700	2.078548	0.003558	0.012709
125	0.189754	-0.765417	-1.572341	0.003421	0.011846
126	-0.042410	-0.496133	5.438911	0.003334	0.010741
127	0.094929	-0.550035	2.439252	0.003457	0.012339
128	-0.014927	-0.590714	5.953875	0.002511	0.013169
129	-0.013014	-0.424244	0.032812	0.003048	0.010906
130	0.110763	-0.453501	4.127435	0.003091	0.011526
131	0.243830	-0.554246	2.076271	0.003047	0.010072
132	0.313769	-0.450453	5.191428	0.003895	0.011803
133	0.012076	-0.474141	6.486913	0.003245	0.011802
134	0.090352	-0.828250	5.288787	0.003734	0.010825
135	0.197792	-0.701923	-1.870451	0.003716	0.010602
136	-0.056642	-0.424503	1.871895	0.003669	0.010161
137	0.166851	-0.718901	0.886937	0.003096	0.008004
138	-0.102497	-0.743588	-4.942680	0.003391	0.011750
139	0.251749	-0.395660	3.419200	0.002729	0.009423
140	0.159993	-0.388998	-2.631104	0.002981	0.011182
141	0.125709	-0.421079	4.888770	0.003613	0.012352
142	0.249723	-0.545531	-0.681595	0.003355	0.010175
143	0.208538	-0.545850	1.633105	0.003305	0.007140
144	-0.034969	-0.640550	0.800796	0.002772	0.009428
145	0.192834	-0.508222	7.732725	0.003272	0.009258
146	0.028317	-0.493567	1.397346	0.003071	0.009386
147	0.152226	-0.484721	5.701844	0.002982	0.014092
148	0.151212	-0.413806	6.172752	0.003243	0.010589
149	0.025647	-0.481194	5.937955	0.003462	0.013043
150	0.023382	-0.475548	4.393126	0.003364	0.007607
151	0.139667	-0.593283	-0.646884	0.003764	0.009869
152	0.131983	-0.451263	7.062235	0.003291	0.012737
153	0.123405	-0.472967	-1.963481	0.003881	0.010264
154	0.066153	-0.181502	5.573251	0.003673	0.012461
155	0.008555	-0.500436	3.264408	0.002766	0.009824
156	0.109598	-0.534509	1.473284	0.002746	0.011230
157	0.150968	-0.465867	5.574630	0.003286	0.010133
158	0.095532	-0.665468	-0.391928	0.002887	0.010319
159	0.171256	-0.668664	3.248042	0.003566	0.010302
160	0.252657	-0.524469	-1.574689	0.003362	0.008983
161	0.022422	-0.313183	2.747868	0.003584	0.011360
162	0.064659	-0.546194	0.637174	0.003333	0.009878
163	0.150609	-0.678727	-1.127122	0.003467	0.011220
164	0.151695	-0.530750	3.784710	0.003792	0.010351
165	-0.000364	-0.311829	7.525548	0.003299	0.009074
166	-0.025906	-0.866803	5.290529	0.003689	0.011186
167	-0.192893	-0.516459	1.699207	0.002673	0.008914
168	0.247215	-0.544454	0.105523	0.003613	0.009291
169	0.061267	-0.374467	6.388929	0.002937	0.008593
170	-0.012281	-0.541038	3.532997	0.003361	0.008320
171	0.072829	-0.499421	8.144745	0.003934	0.012311
172	0.042851	-0.456890	2.957113	0.003826	0.011831
173	0.057832	-0.772840	6.259531	0.003737	0.012231
174	0.079651	-0.442241	5.102334	0.003099	0.009818
175	-0.123839	-0.521734	1.685076	0.002373	0.009501
176	0.242859	-0.482302	0.069042	0.003028	0.010432
177	0.179310	-0.618763	4.803868	0.003858	0.012535
178	-0.027475	-0.597520	3.222747	0.002403	0.009014
179	0.014507	-0.673854	4.027750	0.003311	0.012607
180	-0.072073	-0.400653	5.050074	0.003779	0.011219
181	0.096391	-0.424768	1.593381	0.002654	0.009211
182	0.100083	-0.484272	-0.534213	0.003219	0.012371
183	0.063514	-0.736302	2.169288	0.003207	0.010455
184	0.159379	-0.671574	5.652068	0.002905	0.009847
185	0.297806	-0.603796	6.745019	0.003452	0.011761
186	0.191949	-0.337516	1.015000	0.002772	0.010750
187	0.004742	-0.731793	4.971768	0.002745	0.011941
188	-0.036227	-0.561578	3.558276	0.003789	0.011566
189	0.316208	-0.501834	1.333470	0.003602	0.009401
190	0.135288	-0.629853	1.422933	0.003439	0.011393
191	0.058274	-0.296879	-1.970980	0.002476	0.008009
192	0.012270	-0.514305	-0.983388	0.003984	0.009609
193	-0.001597	-0.449652	1.886796	0.003522	0.011391
194	0.052418	-0.442039	4.922188	0.003300	0.012355
195	0.274278	-0.343899	-0.100851	0.003662	0.010065
196	0.055325	-0.872757	4.260006	0.002495	0.011920
197	0.167653	-0.666987	1.626644	0.002985	0.010057
198	-0.085017	-0.704647	-2.908340	0.003193	0.011120
199	0.183595	-0.516159	1.288016	0.003730	0.010976
200	0.038196	-0.720633	2.885825	0.003346	0.008195
201	-0.159922	-0.546088	-2.274441	0.003386	0.011139
202	0.223113	-0.573707	1.140650	0.002849	0.009986
203	0.084109	-0.652190	4.416832	0.002528	0.012523
204	0.024333	-0.695079	4.547812	0.003159	0.012320
205	0.029369	-0.595351	-1.938632	0.002853	0.009346
206	0.018562	-0.568060	3.350794	0.003003	0.013604
207	0.097850	-0.705591	2.563571	0.003795	0.012588
208	0.138864	-0.695021	1.734691	0.003767	0.011661
209	0.089623	-0.569361	-0.774384	0.003217	0.010609
210	0.167894	-0.334394	3.593032	0.003680	0.011979
211	0.228909	-0.613756	1.803279	0.003824	0.012282
212	0.227211	-0.525171	4.871938	0.003178	0.009680
213	0.397257	-0.434709	-2.453004	0.003428	0.009226
214	0.046513	-0.519370	0.901691	0.003058	0.011017
215	0.043544	-0.534995	5.735755	0.003067	0.010447
216	0.119627	-0.631827	7.307587	0.003341	0.012725
217	0.195450	-0.523363	4.159569	0.003687	0.008867
218	0.031648	-0.201745	2.774196	0.002824	0.011446
219	0.000210	-0.547861	-1.875243	0.003235	0.009980
220	0.170290	-0.668718	-4.070675	0.003105	0.008934
221	0.110052	-0.357492	5.664157	0.002850	0.010334
222	0.127894	-0.428393	0.722329	0.002634	0.010263
223	0.141008	-0.621591	-0.573608	0.002812	0.013149
224	0.068183	-0.438286	2.378690	0.002830	0.008554
225	0.100689	-0.378560	-3.150772	0.002589	0.010153
226	0.169612	-0.479056	-1.701922	0.002743	0.011529
227	0.360821	-0.229524	-3.344967	0.003381	0.011742
228	0.085114	-0.829215	-1.086738	0.003153	0.010611
229	0.152266	-0.675340	3.499260	0.002900	0.011886
230	0.043726	-0.468061	3.849836	0.003565	0.010782
231	0.290641	-0.612474	-0.299552	0.004049	0.010811
232	-0.041306	-0.522179	3.945351	0.002821	0.010384
233	0.003248	-0.560050	3.517359	0.003562	0.009428
234	0.133837	-0.657139	3.155599	0.003652	0.010447
235	-0.112380	-0.557078	6.101370	0.003469	0.011216
236	0.252698	-0.835183	6.821482	0.003245	0.012934
237	0.249667	-0.534688	1.747428	0.003635	0.008416
238	0.043927	-0.551107	0.370001	0.003162	0.009149
239	0.228410	-0.464420	2.789578	0.002692	0.010928
240	0.025220	-0.616759	5.938145	0.003331	0.010776
241	-0.017948	-0.715968	8.225782	0.003456	0.010388
242	0.042966	-0.400568	0.375566	0.003109	0.010207
243	0.124742	-0.401186	2.132921	0.002693	0.012666
244	0.156878	-0.557498	1.650884	0.003819	0.009636
245	-0.044396	-0.429264	-1.140532	0.003691	0.008959
246	0.223635	-0.488956	5.456042	0.003468	0.012998
247	0.303922	-0.405879	0.283445	0.003027	0.010790
248	0.185840	-0.542815	1.029225	0.003589	0.012264
249	0.111964	-0.623469	9.339438	0.002591	0.012448
250	0.057746	-0.481480	-0.837698	0.002710	0.012007
251	0.201616	-0.865374	3.843998	0.003634	0.011744
252	0.212979	-0.394122	-0.461588	0.004006	0.008675
253	0.251077	-0.411542	6.463442	0.002798	0.011286
254	0.199875	-0.546944	-0.867300	0.003638	0.010022
255	0.254127	-0.406193	5.536033	0.003025	0.009809
256	-0.020284	-0.608606	6.283335	0.003040	0.012739
257	0.057183	-0.347188	0.494760	0.002898	0.011804
258	0.041125	-0.654730	2.199725	0.002401	0.011096
259	0.267545	-0.537648	1.404046	0.003618	0.011971
260	-0.104151	-0.527309	1.499470	0.003334	0.012683
261	0.088314	-0.486861	5.143975	0.003622	0.011330
262	0.132904	-0.548519	4.026023	0.002963	0.009852
263	0.337248	-0.561777	-0.550956	0.003124	0.011379
264	0.072705	-0.434882	-2.373975	0.002990	0.009580
265	-0.037446	-0.559560	0.414459	0.003134	0.012658
266	0.383810	-0.718741	6.113912	0.003643	0.013133
267	0.072309	-0.448468	2.181087	0.002911	0.011883
268	0.200043	-0.627747	2.912555	0.003249	0.009686
269	0.024913	-0.711155	6.607053	0.003125	0.012622
270	0.124714	-0.665929	8.285303	0.003997	0.011010
271	-0.060653	-0.530673	2.033958	0.003558	0.010286
272	0.075371	-0.383199	3.354515	0.003038	0.010135
273	0.202426	-0.699073	3.724634	0.003523	0.011151
274	0.159151	-0.564129	4.535225	0.003466	0.009988
275	0.108573	-0.728160	0.858680	0.003478	0.009874
276	0.034698	-0.594251	4.231826	0.002348	0.008512
277	-0.075289	-0.511499	3.533023	0.003377	0.010471
