BC Training Log - Started at 2026-02-18 14:00:50
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, trajectories_per_epoch=256, d_model=64, nhead=4, num_layers=3, epochs=300, batch_size=64, lr=0.0003, max_grad_norm=1.0, aux_weight=0.1, seed=42, no_cuda=False, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=1e-05, best_save_path='bc_best.pth', latest_save_path='bc_latest.pth', log_file='bc_log.txt')
Epoch	BC Loss	Aux Loss	Total Loss	Best So Far	LR
Device: cuda
186	0.482059	8.544258	1.336484	No	0.000037
187	0.369366	8.502152	1.219581	No	0.000037
188	0.346943	8.525413	1.199484	No	0.000037
189	0.344320	8.533569	1.197677	No	0.000037
190	0.458792	8.575408	1.316333	No	0.000037
191	0.387493	8.479205	1.235414	No	0.000037
192	0.421417	8.514729	1.272890	No	0.000037
193	0.401075	8.573153	1.258391	No	0.000037
194	0.373604	8.549003	1.228504	No	0.000037
195	0.311511	8.572509	1.168762	Yes	0.000037
196	0.449449	8.578309	1.307280	No	0.000037
197	0.438996	8.538237	1.292820	No	0.000037
198	0.395430	8.563070	1.251737	No	0.000037
199	0.364772	8.564775	1.221249	No	0.000037
200	0.362695	8.496193	1.212315	No	0.000037
201	0.489625	8.604167	1.350042	No	0.000019
202	0.427487	8.579063	1.285394	No	0.000019
203	0.404269	8.530563	1.257325	No	0.000019
204	0.469173	8.560645	1.325237	No	0.000019
205	0.381274	8.597126	1.240986	No	0.000019
206	0.300727	8.483478	1.149075	Yes	0.000019
207	0.349728	8.570966	1.206825	No	0.000019
208	0.311984	8.506769	1.162661	No	0.000019
209	0.380197	8.576143	1.237811	No	0.000019
210	0.337616	8.552103	1.192826	No	0.000019
211	0.336626	8.486750	1.185301	No	0.000019
212	0.323083	8.520829	1.175166	No	0.000019
213	0.359957	8.503327	1.210290	No	0.000019
214	0.365467	8.544854	1.219952	No	0.000019
215	0.344191	8.512792	1.195470	No	0.000019
216	0.211330	8.387392	1.050069	Yes	0.000019
217	0.378524	8.543353	1.232860	No	0.000019
218	0.367259	8.561523	1.223411	No	0.000019
219	0.392749	8.532249	1.245974	No	0.000019
220	0.333713	8.539952	1.187708	No	0.000019
221	0.414590	8.567351	1.271325	No	0.000019
222	0.250932	8.452057	1.096137	No	0.000019
223	0.366516	8.549940	1.221510	No	0.000019
224	0.335842	8.498516	1.185694	No	0.000019
225	0.342224	8.533241	1.195548	No	0.000019
226	0.496965	8.591503	1.356115	No	0.000019
227	0.365371	8.537710	1.219142	No	0.000019
228	0.364770	8.501255	1.214895	No	0.000019
229	0.422768	8.559869	1.278755	No	0.000019
230	0.286368	8.475809	1.133948	No	0.000019
231	0.390746	8.550239	1.245770	No	0.000019
232	0.274025	8.490702	1.123095	No	0.000019
233	0.384812	8.538599	1.238672	No	0.000019
234	0.309608	8.490516	1.158660	No	0.000019
235	0.261134	8.482669	1.109401	No	0.000019
236	0.433164	8.595149	1.292679	No	0.000019
237	0.320307	8.483244	1.168631	No	0.000019
238	0.343479	8.472736	1.190753	No	0.000019
239	0.351489	8.520392	1.203528	No	0.000019
240	0.337545	8.491571	1.186702	No	0.000019
241	0.364258	8.572707	1.221529	No	0.000019
242	0.357368	8.499007	1.207269	No	0.000019
243	0.387437	8.588403	1.246277	No	0.000019
244	0.358461	8.516136	1.210075	No	0.000019
245	0.324482	8.476785	1.172160	No	0.000019
246	0.350599	8.545864	1.205186	No	0.000019
247	0.421430	8.558132	1.277243	No	0.000019
248	0.329565	8.489103	1.178476	No	0.000019
249	0.363066	8.518750	1.214941	No	0.000019
250	0.364896	8.538959	1.218792	No	0.000019
251	0.275840	8.489274	1.124767	No	0.000009
252	0.256942	8.477799	1.104722	No	0.000009
253	0.496954	8.610439	1.357998	No	0.000009
254	0.386864	8.532198	1.240084	No	0.000009
255	0.344329	8.523562	1.196685	No	0.000009
256	0.372856	8.542935	1.227150	No	0.000009
257	0.369897	8.529870	1.222884	No	0.000009
258	0.375604	8.603024	1.235906	No	0.000009
259	0.272441	8.471163	1.119558	No	0.000009
260	0.324951	8.554342	1.180385	No	0.000009
261	0.295398	8.513672	1.146765	No	0.000009
262	0.347566	8.545483	1.202115	No	0.000009
263	0.424643	8.546584	1.279301	No	0.000009
264	0.384472	8.540407	1.238513	No	0.000009
265	0.344840	8.533330	1.198173	No	0.000009
266	0.389971	8.580838	1.248055	No	0.000009
267	0.228173	8.425261	1.070699	No	0.000009
268	0.348200	8.519577	1.200158	No	0.000009
269	0.336744	8.503423	1.187086	No	0.000009
270	0.329889	8.476045	1.177494	No	0.000009
271	0.359695	8.525170	1.212212	No	0.000009
272	0.339327	8.463824	1.185709	No	0.000009
273	0.343051	8.535892	1.196640	No	0.000009
274	0.349083	8.535349	1.202618	No	0.000009
275	0.270590	8.508412	1.121431	No	0.000009
276	0.351250	8.498428	1.201093	No	0.000009
277	0.413129	8.518815	1.265011	No	0.000009
278	0.364986	8.529242	1.217910	No	0.000009
279	0.320345	8.503981	1.170743	No	0.000009
280	0.233465	8.484596	1.081924	No	0.000009
281	0.384453	8.508929	1.235346	No	0.000009
282	0.265534	8.488059	1.114340	No	0.000009
283	0.378609	8.560042	1.234613	No	0.000009
284	0.335377	8.472002	1.182577	No	0.000009
285	0.403910	8.543523	1.258262	No	0.000009
286	0.228393	8.433426	1.071735	No	0.000009
287	0.327494	8.538366	1.181331	No	0.000009
288	0.243187	8.477057	1.090892	No	0.000009
289	0.225122	8.447838	1.069906	No	0.000009
290	0.396600	8.495079	1.246108	No	0.000009
291	0.298176	8.460641	1.144240	No	0.000009
292	0.301165	8.517008	1.152865	No	0.000009
293	0.355076	8.524710	1.207547	No	0.000009
294	0.337610	8.542872	1.191897	No	0.000009
295	0.324198	8.552421	1.179440	No	0.000009
296	0.377542	8.603520	1.237894	No	0.000009
297	0.236530	8.434329	1.079963	No	0.000009
298	0.296177	8.523217	1.148499	No	0.000009
299	0.266225	8.467002	1.112925	No	0.000009
300	0.280704	8.593769	1.140081	No	0.000009
Training finished at 2026-02-18 16:05:08
