AIRL Training Log - Started at 2026-02-18 22:03:19
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='bc_latest.pth', iterations=200, expert_trajs_per_iter=50, policy_steps_per_iter=1000, disc_updates=5, policy_updates=10, batch_size=64, lr=0.0001, aux_weight=0.1, clip_epsilon=0.2, value_coef=0.5, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, use_her=True, her_in_expert=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='airl_best.pth', latest_save_path='airl_latest.pth', log_file='airl_log.txt')
Iter	Disc Loss	Policy Loss	Avg Reward	Avg Hue L1	Avg Value L1
100	1.269906	16.307632	-1.299254	0.003354	0.011646
101	1.255016	39.080937	-1.623979	0.002725	0.013414
102	1.208628	33.382548	-1.807573	0.003210	0.015096
103	1.409951	75.253209	-2.039234	0.003135	0.011145
104	1.303841	48.058776	-2.156442	0.003454	0.013699
105	1.317051	70.856909	-1.966625	0.002210	0.012903
106	1.329497	47.758160	-2.057408	0.002750	0.013475
107	1.361921	46.563709	-2.161860	0.003385	0.015646
108	1.258935	39.035495	-1.885382	0.003349	0.013692
109	1.351535	31.258309	-1.808287	0.002566	0.014882
110	1.361577	21.312939	-1.527739	0.002797	0.012791
111	1.349490	35.842865	-1.613242	0.002683	0.012257
112	1.307418	28.239635	-1.518909	0.002961	0.014599
113	1.311434	32.502972	-1.506008	0.003113	0.013668
114	1.380466	23.462723	-1.514313	0.002747	0.014008
115	1.320734	24.466336	-1.383207	0.003222	0.012006
116	1.270359	21.980022	-1.030207	0.002654	0.012010
117	1.290948	21.090497	-1.303438	0.003564	0.013184
118	1.297212	16.156021	-1.248908	0.002896	0.011583
119	1.388346	18.912975	-1.227056	0.003186	0.012023
120	1.327938	19.950167	-1.155645	0.003180	0.010102
