AIRL+GRPO Training Log - Started at 2026-02-19 10:34:54
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='bc_latest.pth', iterations=200, expert_trajs_per_iter=50, num_prompts=32, group_size=8, disc_updates=5, batch_size=64, lr=0.0001, aux_weight=0.1, clip_epsilon=0.2, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, use_her=True, her_in_expert=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='airl_grpo_best.pth', latest_save_path='airl_grpo_latest.pth', log_file='airl_grpo_log.txt')
Iter	Disc Loss	Policy Loss	Avg Reward	Avg Hue L1	Avg Value L1
99	1.455523	0.187220	-0.407749	0.003595	0.013265
100	1.434712	0.061982	-0.400969	0.003158	0.013028
101	1.420260	-0.036675	-0.540597	0.003120	0.010389
102	1.461933	0.129869	-0.688552	0.003991	0.011179
103	1.376378	0.278033	-0.680275	0.003421	0.011516
104	1.449194	0.088672	-0.641199	0.003149	0.010491
105	1.453957	0.252405	-0.533657	0.003578	0.009058
106	1.336634	0.098129	-0.871187	0.003190	0.010746
107	1.459977	-0.033540	-0.736388	0.003121	0.011390
108	1.414150	0.148193	-0.486323	0.003315	0.009954
109	1.393260	0.071619	-0.506170	0.002882	0.010510
110	1.409917	0.300848	-0.746661	0.002637	0.010380
111	1.320034	0.125324	-0.735494	0.003485	0.009390
112	1.425535	0.183730	-0.399017	0.003229	0.010962
113	1.340866	0.003217	-0.614617	0.002458	0.009274
114	1.407931	0.106095	-0.811632	0.002748	0.010336
115	1.260625	0.138677	-0.764477	0.002568	0.010580
116	1.403268	0.129177	-0.614831	0.002798	0.009836
117	1.411297	0.257324	-0.558228	0.003432	0.009808
118	1.415353	0.096200	-0.457209	0.002512	0.012720
119	1.390351	0.127131	-0.643131	0.003008	0.011480
120	1.385391	0.061450	-0.659857	0.003192	0.013868
121	1.426916	0.134009	-0.631943	0.003229	0.010516
122	1.431809	0.245673	-0.653692	0.003941	0.009793
123	1.368063	0.136508	-0.666605	0.003382	0.010544
124	1.437345	0.134792	-0.611348	0.002999	0.010570
125	1.378166	0.161560	-0.706748	0.002557	0.009409
126	1.393128	0.333466	-0.591711	0.002964	0.013009
127	1.362687	0.533331	-0.743152	0.002940	0.009317
128	1.328091	0.014428	-0.773501	0.002568	0.009372
129	1.468439	0.210537	-0.607893	0.002989	0.012421
130	1.408247	0.174249	-0.760608	0.002369	0.012334
131	1.375329	0.288930	-0.825768	0.003327	0.012291
132	1.395517	0.098819	-0.644572	0.002746	0.012649
133	1.367776	0.146112	-0.525371	0.003126	0.010558
134	1.366106	0.117885	-0.664317	0.002899	0.012166
135	1.373357	0.371689	-0.693187	0.003519	0.010068
136	1.369865	0.063805	-0.420072	0.002392	0.012684
137	1.377750	0.161581	-0.583917	0.002392	0.010563
